;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;19 maart 2015;;;;;;
Adres: Cingel 1, Vught;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Buiten bij wasserij;Buitenkraan;EA;Achter buitenkraan;a;Ø15;knel;
2;BG;Wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
3;BG;Wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
4;BG;Wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
5;BG;Wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
6;BG;Wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
7;1e verd.;Boven wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
8;1e verd.;Boven wasserij;Wasmachinekraan;EA;Achter wasmachine;a;3/4;schroef;
9;BG;Ingang restaurant;Brandslanghaspel;;;a;;;
10;BG;Keuken;Vaatwasser;EA;In keukenkast;a;3/4;schroef;
11;BG;Keuken;Koffie-automaat;EA;;a;3/4;schroef;
12;BG;Bar in restaurant;Koffie-automaat;EA;In kast;a;3/4;schroef;
13;BG;Bar in restaurant;Spoelkraan tap;EA;In kast;a;3/4;schroef;
14;BG;Hal bij grote deur;Watermeter;EA;In meterkast;a;Ø35;cap;
15;BG;Keuken kantoor;Vaatwasser;EA;In keukenkast;a;3/4;schroef;
16;BG;Keuken kantoor;Koffie-automaat;EA;Achter koffie-apparaat;a;3/4;schroef;
17;1e verd.;Zolder naast ketelhok;Vulkraan;EA;Naast ketelhok;a;Ø15;knel;
18;BG;Gang bij keuken;Brandslanghaspel;EA;In plafond;a;Ø22;knel;
19;BG;Gang kantoor;Brandslanghaspel;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
