;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 12 2015;;;;;;
Adres: De Ring 14, Vught;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij balie;Brandslanghaspel;EA;Plafond in gang bij 0.13;a;Ø22;knel;
2;BG;Koffiehoek;Koffie apparaat;EA;Achter koffie apparaat;a;3/4;schroef;
3;BG;Gang bij koffie apparaat;Brandslanghaspel;EA;Plafond boven koffie apparaat;a;Ø22;knel;
4;BG;Keuken;Koffie apparaat;EA;In keukenkast;a;3/4;schroef;
5;BG;Keuken;Vaatwasser;CA;In keukenkast;a;3/4;schroef;
6;1e verd.;Keuken;Koffie apparaat;EA;;a;3/4;schroef;
7;2e verd.;Gang bij lift;Brandslanghaspel;;;a;;;
8;2e verd.;Keuken;Koffie apparaat;EA;;a;3/4;schroef;
9;2e verd.;Kantoor;Brandslanghaspel;;;a;;;
10;3e verd.;Ketelhuis;Vulkraan;CA;Plafond;a;Ø15;knel;
11;3e verd.;Gang;Brandslanghaspel;EA;Plafond ketelhuis;a;Ø22;knel;
12;3e verd.;Keuken;Koffie apparaat;EA;;a;3/4;schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
