;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 13 2015;;;;;;
Adres: Den Dries 1, Liempde;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
Woning 1;;;;;;;;;
1;BG;Gang;Brandslanghaspel;;;a;;;
2;BG;Keuken;Buitenkraan;EA;In keukenkast;a;Ø15;knel;
3;1e verd.;Overloop;Brandslanghaspel;EA;In plafond;a;Ø22;knel;
4;2e verd.;Overloop;Brandslanghaspel;EA;In plafond 1e verd.;a;Ø22;knel;
5;2e verd.;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;knel;
6;2e verd.;Ketelhok;Circulatieleiding;EA;;a;Ø15;knel;
Appartementen midden;;;;;;;;;
7;1e verd.;Trappengat;Brandslanghaspel;;;a;;;
Woning 2;;;;;;;;;
8;BG;Hal gang;Brandslanghaspel;EA;Onder vloer;a;Ø22;knel;
9;1e verd.;Overloop;Brandslanghaspel;EA;In plafond;a;Ø22;knel;
10;2e verd.;Overloop;Brandslanghaspel;EA;In plafond 1e verd.;a;Ø22;knel;
11;2e verd.;Ketelhok;Circulatieleiding;EA;;a;Ø15;knel;
12;2e verd.;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
