;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 13 2015;;;;;;
Adres: Eindhovenlaan 8, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
2;BG;Keuken;Koffie apparaat;EA;Achter koffie apparaat;a;3/4;schroef;
3;BG;Afwaskeuken;Spoelkraan kw;EA;Onder werkblad;a;Ø15;knel;
4;BG;Afwaskeuken;Spoelkraan ww;EA;Onder werkblad;a;Ø15;knel;
5;BG;Gang bij oker;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
6;BG;Gang bij sportzaal;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
7;BG;Bij sportzaal;Buitenkraan;;;a;;;
8;BG;Buiten bij opslaghok;Buitenkraan;;;a;;;
9;BG;Buiten bij kantine;Buitenkraan;;;a;;;
10;BG;Ketelhuis;Circulatieleiding;EA;;a;Ø22;knel;
11;BG;Ketelhuis;Circulatieleiding;EA;;a;Ø15;knel;
12;BG;Gang bij indigo;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
13;BG;Ketelhuis;Inlaatcombinatie;EA;;a;Ø22;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
