;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 12 2015;;;;;;
Adres: Nieuwstraat 1, Boxtel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Buiten voor;Buitenkraan;;;a;;;
2;BG;Ingang;Watermeter;EA;In meterkast;a;Ø28;knel;
3;BG;Naast bar;Brandslanghaspel;EA;Onder BSH;a;;;
4;BG;Keuken;Koffie apparaat;EA;;a;3/4;schroef;
5;BG;Keuken;Spoelkraan ww;EA;Onder werkblad;a;Ø15;knel;
6;BG;Keuken;Spoelkraan kw;EA;Onder werkblad;a;Ø15;knel;
7;BG;Buiten achter keuken;Buitenkraan;EA;;a;;;
8;BG;Gang rechts;Brandslanghaspel;EA;Onder BSH;a;Ø22;knel;
9;BG;Gang links;Brandslanghaspel;EA;Onder BSH;a;Ø22;knel;
10;BG;Buiten bij bakkerij;Buitenkraan;;;a;;;
11;BG;Buiten bij allerlij;Buitenkraan;;;a;;;
12;BG;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;knel;
13;BG;Ketelhok;Circulatieleiding;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
