;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 13 2015;;;;;;
Adres: Pomphoekweg 6, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Bij balie;Brandslanghaspel;EA;Naast BSH kast;a;Ø22;knel;
2;BG;Douche miva-toilet;Inlaatcombinatie;EA;;a;Ø15;knel;
3;BG;Kantine;Brandslanghaspel;;;a;;;
4;BG;Buiten bij rookhoek;Buitenkraan;;;a;;;
5;BG;Buiten bij kantoor CB;Buitenkraan;;;a;;;
6;BG;Buiten achter;Buitenkraan;;;a;;;
7;BG;Opslag magazijn;Brandslanghaspel;EA;Plafond;a;Ø22;knel;
8;BG;Spoelkeuken;Spoelkeuken ww;EA;Onder wasbak;a;3/8;schroef;
9;BG;Spoelkeuken;Spoelkeuken kw;EA;Onder wasbak;a;3/8;schroef;
10;BG;Spoelkeuken;Vaatwasser;CA;Onder wasbak;a;1/2;schroef;
11;BG;Kantine;Koffie apparaat;EA;Onder werkblad;a;3/4;schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
