;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 13 2015;;;;;;
Adres: Van der Eygenweg 1, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal;Buitenkraan;EA;Naast meterkast;a;Ø15;knel;
2;BG;Gang;Brandslanghaspel;;;a;;;
3;1e verd.;Ketelhuis;Circulatieleiding;EA;;a;Ø22;knel;
4;1e verd.;Ketelhuis;Inlaat-combinatie;EA;;a;Ø22;knel;
5;BG;Buiten achter;Buitenkraan;;;a;;;
6;BG;Bij keuken;Brandslanghaspel;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
