;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Cornerstone;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Hagelkruisstraat;Week: ;December, 2015;;;;;
Adres: ;;Hagelkruisstraat 19, Beugen;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;Kelder;Gevelkraan + CV Vulk.;CA;;a;;;
2;-1;Kelder;Gevelkraan + CV Vulk.;EA;;a;;;
3;BG;Boiler Kamer;CV Vulkraan;CA;;a;;;
4;BG;Keuken;WW knijpdouche;EA;;a;;;
5;BG;Keuken;KW knijpdouche;EA;;a;;;
6;BG;Keuken;Vaatwasser;CA;;a;;;
7;-1;Kelder Keuken;Ontharder;CA;;a;;;
8;BG;Bij werkplaats TD;Gevelkraan;EA;;a;;;
9;BG;Bij werkplaats TD;Gevelkraan;EA;;a;;;
10;BG;Tech. Ruimte;WW Criculatieleiding;EA;;X;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
