;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;DKC;Naam monteur: ;John Nederkoorn;;;;;
Locatie:;;Holthurensche Hof;Week: ;September, 2015;;;;;
Adres: ;;Zevenheuvelenweg 48a;Gebouw Dalhof;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G;Pantry;Vaatwasser;CA;Naast machine;a;ø15;Knel;
2;B.G;Lobby;Koffie automaat;EA;Naast automaat;a;3/4'';Schroef;
3;B.G;;BSH 33;;;a;;;
4;Kelder;Opslag;Voeding KW;EA;In kelder;a;;;
5;B.G;Bar brasserie;Spoelbak;EA;In kelder;a;ø15;Knel;
6;B.G;Bar brasserie;Koffie automaat;EA;In kelder;a;ø15;Knel;
7;Kelder;Opslag;Voeding KW;EA;In kelder;a;ø15;Knel;
8;Kelder;Orangerie;Voeding KW;EA;In kelder;a;ø35;Knel;
9;1e;Overloop;BSH 35;EA;;a;;;
;;;;;;;;;
;;Gebouw Valkhof;;;;;;;
1;B.G;Sportruimte;BSH;EA;In plafond;a;;;
2;B.G;Ketelruimte;CV Vulkraan;EA;In ketelhuis;a;ø15;Knel;
3;B.G;Pantry;Koffieautomaat;EA;In keukenkast;a;ø15;Knel;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
