;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: DPS Food;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: -;;;Week: November, 2015;;;;;;
Adres: Sir Rowland Hillstraat 3, Tiel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Meterkast;Voeding;EA;In meterkast;a;1";Schroef;
2;B.G.;Bij receptie;Brandslanghaspel;EA;In kruipruimte;a;;;
3;B.G.;Test centre 2;Vaatwasser;EA;Aan kraan;a;3/4";Schroef;
4;1e verd.;Test centre 1;Ijsmachine;EA;Aan kraan;a;3/4";Schroef;
5;1e verd.;Test centre 1;Demi water;EA;Boven apparaat;a;1/2;Schroef;
6;1e verd.;Test centre 1;Steamer;CA;Achter steamer;a;Ø15;Knel;
7;1e verd.;Test centre 1;Nooddouche;EA;Boven plafond;a;Ø22;Knel;
8;1e verd.;Test centre 1;Brandslanghaspel;EA;;a;;;
9;1e verd.;Test centre 1 CV;CV vulkraan;CA;Onder boiler;a;Ø1/2";Schroef;
10;1e verd.;Test centre 1 CV;Circulatie;EA;Onder boiler;a;Ø15;Knel;
11;B.G.;Magazijn;Hoge drukunit;EA;Aan kraan;a;3/4";Schroef;
12;B.G.;Magazijn;Brandslanghaspel;EA;Naast haspel;a;Ø22;Cap;
13;B.G.;Productieruimte;Buitenkraan;EA;Bij wastrog;a;Ø15;Knel;
14;B.G.;Productieruimte;Voeding;EA;Boven tegendak;a;Ø22;Knel;
15;B.G.;Afzakruimte;Brandslanghaspel;EA;In kast BSH;a;Ø22;Knel;
16;B.G.;Wasplaats;Tapkraan;EA;Boven wastrog;a;Ø15;Knel;
17;B.G.;Wasplaats;Hoge drukunit;CA;Bij hoge druk unit;a;Ø22;Knel;
18;2e verd.;Hal bij kantine;Brandslanghaspel;EA;In plafond;a;;;
19;2e verd.;Kantine;Vaatwasser;EA;In keukenkast;a;Ø15;Knel;
20;2e verd.;Heren kleedruimte;Brandslanghaspel;EA;In plafond;a;;;
22;1e verd.;CV ruimte;CV vulkraan;CA;Onder boiler;a;Ø15;Knel;
23;1e verd.;CV ruimte;Circulatie;EA;Naast boiler;a;Ø22;Knel;
24;1e verd.;CV ruimte;Voeding douche;EA;Naast boiler;a;Ø28;Knel;
25;1e verd.;Test center 1;Voeding Boiler;Inlaat C.;Onder Boiler;a;Ø15;Knel;
26;B.G.;Hal Ingang Magazijn;Boiler;Inlaat C.;Onder Wasbak;a;Ø15;Knel;
27;1e verd.;CV Ruimte;Voeding Boiler;Inlaat C.;Naast Boiler;a;Ø22;Knel;
;;;;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
16 en 17;;CA kleppen Horizontaal plaatsen.;;;;;;;
