;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Kernen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: De Lagrostraat 7;;;Datum: Juni, 2015;;;;;;
Adres: De Lagrostraat 7 Ammerzoden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang cello;Brandslanghaspel;EA;in meterkast;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
