;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Kernen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: -;;;Datum: Juni, 2015;;;;;;
Adres: De Dreef 1-3a, Hedel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang de Munt;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
