;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Kernen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: Kantoor;;;Datum: Juni, 2015;;;;;;
Adres: Korenstraat 1, Hedel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Keuken kantine;Brandslanghaspel 3;RAM EA;onder BSH;a;Ø22;knel;
2;BG;Gang trapje;Brandslanghaspel 8;;onder vloer;a;;;
3;1e verd.;Kantine;Brandslanghaspel 11;EA;onder BSH;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
