;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Kernen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: Wielstraat;;;Datum: Juni, 2015;;;;;;
Adres: Wielstraat 90-114, Benden-Leeuwen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij ingang;Brandslanghaspel 0-1;;;a;;;
2;BG;Gang bij nr 96;Brandslanghaspel 0-2;;;a;;;
3;1e verd.;Gang kantoor;Brandslanghaspel 1-1;;;a;;;
4; 1e verd.;Gang bij nr 108;Brandslanghaspel 1-2;;;a;;;
5;BG;Bij ingang;vv buitenkraan;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
