;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Kernen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: -;;;mei-15;;;;;;
Adres: Blankenburgsestraat, Ophemert;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Materiaalhok;Brandslanghaspel;EA;achter BSH;a;;;
2;B.G.;Gang kleedkamers;Brandslanghaspel;EA;achter BSH;a;;;
3;B.G.;Kinderdagverblijf;Brandslanghaspel;EA;achter BSH;a;;;
4;B.G.;Zaal;Brandslanghaspel;EA;achter BSH;a;;;
5;B.G.;Technische ruimte;Buitenkraan;EA;;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
