;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;De Kernen;Naam monteur: ;J Verhagen;;;;;
Locatie:;;De Herbergier;Week: ;Oktober, 2015;;;;;
Adres: ;;Brouwersstraat 1;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;1e;Prive. Tech. Ruimte;BSH;EA;In Tech. Ruimte;a;;;
2;1e;Prive. Tech. Ruimte;CV Vulkraan;CA;In Tech. Ruimte;a;;;
3;1e;Prive. Tech. Ruimte;WW Ciruclatieleiding;EA;In Tech. Ruimte;a;;;
4;-1;Kelder;BSH;EA;In Kelder;a;;;
6;BG;Meterkast bij ingang;BSH;EA;In Meterkast;a;;;
7;BG;Meterkast bij ingang;BSH;EA;In Meterkast;a;;;
8;1e;Tech. Ruimte;CV Vulkraan;EA;Tech. Ruimte;a;;;
9;1e;Tech. Ruimte;WW Circulatieleiding;EA;Tech. Ruimte;a;;;
10;1e;Tech. Ruimte;KW Toevoer;EA;Tech. Ruimte;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;Buitenkranen niet beveiligd.;;;;;;;
;;;;;;;;;
