;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;; De Leeuw;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Gemeentewerf;Week: ;November, 2015;;;;;
Adres: ;;Veesteeg 8, Beneden - Leeuwen;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang Kantoor;BSH;;;X;;;
2;BG;Keuken Kantine;Boiler;Inlaat C.;In kast;X;ø15;Knel;
3;BG;Keuken Kantine;Koffie automaat;;;X;;;
4;BG;KCA;BSH;EA;Onder BSH;a;ø22;CAP;
5;BG;KCA;Oogdouche;;;X;;;
6;BG;Voertuigen stalling;BSH;EA;Onder BSH;a;ø22;CAP;
7;BG;Meterkast voertuigen stalling;Voeding KW;EA;In Leiding;a;ø22;CAP;
8;BG;Voertuigen stalling;Tapkraan;;;X;;;
9;BG;Wasruimte Werkplaats ;Oogdouche;EB;Achter Oogdouche;a;1/2'';Schroef;
10;BG;Gang wasruimte;Tapkraan;;;X;;;
11;BG;Wasplaats achter;Gevelkraan;;;X;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
