;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;; De Leeuw;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Gymzaal Maasbommel;Week: ;November, 2015;;;;;
Adres: ;;Kampstraat 21B, Maasbommel;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal kleinduimpje;BSH;EA;Onder Haspel;a;ø22;Knel;
2;BG;Tech. Ruimte kleinduimpje;CV Vulkraan;EA;Achter kraan;a;1/2'';Schroef;
3;BG;Hal gymzaal;BSH;;;X;;;
4;BG;Ketelhuis Tech. Ruimte;Boiler;Inlaat C.;Naast Boiler;a;ø22;Knel;
5;BG;Ketelhuis Tech. Ruimte;CV Vulkraan;;;a;;;
6;BG;Werkkast;Mengventiel KW;EA;In Werkkast;a;ø22;Knel;
7;BG;Werkkast;Mengventiel WW;EA;In Werkkast;a;ø22;Knel;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
