;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Rosep;;;Naam monteur: M. Gutte;;;;;;
Locatie: Mansion Hotel Bos & Ven;;;   Datum: December, 2015;;;;;;
Adres: Klompven 26, Oisterwijk;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Ketelhok;Toevoer koudwater;EA;;a;Ø22;;
2;B.G.;Ketelhok;Toevoer vulkraan;EA;;a;Ø42;;
3;B.G.;Ketelhok;Circu-leiding;EA;;a;Ø22;;
4;B.G.;Keuken;Spuitslang;EA;;a;Ø28;;
5;B.G.;Keuken;Spoelkraan koudwater;EA;;a;Ø15;Watts;
6;B.G.;Keuken;Spoelkraan warmwater;EA;;a;Ø15;Watts;
7;B.G.;Keuken;Buitenkraan;;Onder werkblad achter in keuken;a;Ø15;Watts;
8;B.G.;Keuken;Koffieapparaat;EA;Onder koffieapparaat;a;3/4;Schroef;
9;B.G.;Gang bij wilhelminazaal;Brandslanghaspel;;;a;;;
10;B.G.;Gang bij beatrixzaal;Brandslanghaspel;;;a;;;
11;-1;Trap bij beatrixzaal;Brandslanghaspel;EA;Aan plafond;a;Ø28;Cap;
12;1e verd.;Gang bij 107;Brandslanghaspel;;;a;;;
13;1e verd.;Gang bij 101;Brandslanghaspel;;;a;;;
14;1e verd.;Gang bij 108;Brandslanghaspel;;;a;;;
15;1e verd.;Gang bij 122;Brandslanghaspel;EA;;a;Ø28;Knel;
16;1e verd.;Gang bij 113;Brandslanghaspel;EA;;a;Ø22;Knel;
17;1e verd.;Opslagkast;Buitenkraan;;;a;Ø15;Knel;
18;2e verd.;Gang bij 201;Brandslanghaspel;;In BSH kast;a;;;
19;2e verd.;Gang bij 214;Brandslanghaspel;;In opslagkast bij terrasdeur;a;;;
20;2e verd.;Gang bij 203;Brandslanghaspel;;In opslagkast bij terrasdeur;a;;;
21;2e verd.;Gang bij 208;Brandslanghaspel;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
Ketelhok;;Keerklep circulatieleiding wisselaar zit geen afsluiter dus kan niet getest worden.;;;;;;;
;;;;;;;;;
