;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: De Rosep;;;Naam monteur: M. Gutte;;;;;;
Locatie: Hotel Landgoed de Rosep;;;   Datum: December, 2015;;;;;;
Adres: Oirschotse baan 15, Oisterwijk;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang bij kamer 1;Brandslanghaspel;EA;In BSH kast;a;Ø28;Knel;
2;B.G.;Gang bij kamer 8;Brandslanghaspel;EA;In BSH kast;a;Ø28;Knel;
2a;B.G.;Keuken Huberszaal;Koffieapparaat;EA;;a;3/4;Schroef;
3;B.G.;Ketelhok buiten ;Boiler circu-leiding;EA;;a;Ø42;Knijp;
4;B.G.;Ketelhok buiten ;Boiler circu-leiding;EA;;a;Ø28;Knijp;
4a;B.G.;Ketelhok;Buitenkraan;EA;;a;Ø22;Knel;
4b;B.G.;Ketelhok;Voeding KW;EA;;a;Ø22;Knel;
5;B.G.;Gang bij V. Tienhoven zaal;Brandslanghaspel;EA;In kast;a;Ø28;Knel;
6;B.G.;Bar;Vaatwasser;CA;In kast (stopkraan kast links);a;1/2;Schroef;
7;B.G.;Keuken;Spoelhaspel;EA;;a;3/4;Schroef;
7a;B.G.;Keuken;Koffieapparaat;EA;;a;3/4;Schroef;
8;B.G.;Spoelkeuken;Spoelkraan kw;CA;;a;1/2;Schroef;
9;B.G.;Spoelkeuken;Spoelkraan ww;CA;;a;1/2;Schroef;
10;B.G.;Spoelkeuken;Wasstraat;CA;;a;1/2;Schroef;
11;B.G.;Gang bij kamer 27;Brandslanghaspel;EA;;a;Ø22;Knel;
12;B.G.;Ingang;Koffieapparaat;EA;;a;3/4;Schroef;
13;B.G.;Gang bij kamer 31;Brandslanghaspel;EA;;a;Ø22;Knel;
14;B.G.;Gang bij kamer 34;Brandslanghaspel;EA;;a;Ø22;Knel;
15;B.G.;Gang bij kamer 41;Brandslanghaspel;EA;;a;Ø28;Cap;
16;B.G.;Technische ruimte bij trappen;Ontharder;CA;;a;1/2;Schroef;
17;B.G.;Technische ruimte bij trappen;Toevoer KW;EA;Onder Boiler Links;a;1/2;Schroef;
18;B.G.;Technische ruimte bij trappen;Circu-leiding;EA;;a;Ø15;Knel;
20;B.G.;Zwembad;KW apparaat;EA;;a;3/4;Schroef;
21;B.G.;Technische ruimte bij zwembad;Vulkraan;CA;;a;1/2;Schroef;
22;B.G.;Technische ruimte bij zwembad;Koudwater toevoer;EA;;a;Ø35;Cap;
23;B.G.;Technische ruimte bij zwembad;Toevoer KW;EA;;a;Ø35;Cap;
25;B.G.;Technische ruimte bij zwembad;Koudwater toevoer;EA;;a;Ø35;Cap;
26;B.G.;Technische ruimte bij zwembad;Warmwater leiding;EA;In plafond bij deur;;Ø35;Cap;
27;B.G.;Gang bij kamer 55;Brandslanghaspel;;;a;;;
28;B.G.;Koffiehoek onder bij wc;Koffieapparaat;;;a;;;
29;B.G.;Gang bij beukenzaal;Brandslanghaspel;;;a;;;
30;1e verd.;Gang bij kamer 5;Brandslanghaspel;;;a;;;
31;B.G.;Wasruimte bij Prive;Boiler;EA;Boilerruimte;a;Ø15;Knel;
32;B.G.;Wasruimte bij Prive;Inlaat C.;EA;Boilerruimte;a;Ø28;Knel;
33;B.G.;Wasruimte bij Prive;Spoelleiding;EA;Boilerruimte;a;Ø32;Knel;
34;B.G.;CV Ruimte naast 55;CV Vulkraan;EA;;a;Ø15;Knel;
35;B.G.;CV Ruimte naast 55;Toevoer KW;EA;;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
26;;Geen afsluiter voor klep geplaatst, niet controleerbaar.;;;;;;;
