;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Fundis;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;De Lindscote;Week: ;November, 2015;;;;;
Adres: ;;Strick v Linschotestraat 1, Linschoten;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Keuken;Vaatwasser;CA;Achter Machine;a;1/2'';Schroef;
2;BG;Keuken;Gevelkraan;RAM EA;In Keukenkast;a;ø15;Knel;
3;BG;Gang;BSH;RAM EA;Onder BSH;a;ø22;Knel;
4;1e;Gang;BSH;EA;;a;;;
5;1e;Ketelhuis;Boiler;Inlaat C.;Naast Boiler;a;ø22;Knel;
6;1e;Ketelhuis;Circulatie;RAM EA;Naast Boiler;X;ø22;Knel;
7;1e;Ketelhuis;CV Vulkraan;CA;Naast Boiler;a;ø15;Knel;
8;1e;Ketelhuis;Voeding KW;EA;Naast Boiler;a;ø15;Knel;
9;1e;Ketelhuis;Voeding KW;RAM EA;Naast Ketel;a;ø28;Knel;
10;1e;Ketelhuis;Waterontharder;CA;Naast waterontharder;a;3/4'';Schroef;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
