;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Fundis;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;t Oude Land;Week: ;November, 2015;;;;;
Adres: ;;Park oudeland 60, Woerden;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Spoelkeuken;Spoelknijpkraan KW;EA;Onder Wasbak;a;ø15;Knel;
2;BG;Spoelkeuken;Spoelknijpkraan WW;EA;Onder Wasbak;a;ø15;Knel;
3;-1;Bij Kapsalon;Gevelkraan;RAM EA;Opslag Schoonmaak;a;ø22;Knel;
4;-1;Bij Kapel;Gevelkraan;RAM EA;Opslag Schoonmaak;a;ø15;Knel;
5;-1;Bij Receptie;Gevelkraan;EA;Bij watermeter;a;ø15;Knel;
6;-1;Hydrofoor ruimte;Waterontharder Rechts;CA;Bij waterontharder;a;ø22;Knel;
7;-1;Hydrofoor ruimte;Mengeventiel KW;EA;Bij wasbak;a;ø22;Knel;
8;-1;Hydrofoor ruimte;Mengeventiel WW;EA;Bij wasbak;a;ø22;Knel;
9;-1;Hydrofoor ruimte;BSH's;EA;Boven wasbak;a;ø42;Pers;
10;-1;Hydrofoor ruimte;Waterontharder Links;CA;Boven Hydrofoor;a;ø22;Knel;
11;-1;Koelmotorruimte;Gevelkraan;RAM EA;Tegen Plafond;a;ø15;Knel;
12;-1;Wasruimte;Wasmachine WW;EA;Aan kraan;a;3/4'';Schroef;
13;-1;Wasruimte;Wasmachine Kw;EA;Aan kraan;a;3/4'';Schroef;
14;-1;Wasruimte;Voeding Keuken;RAM EA;In Plafond;a;ø15;Knel;
15;-1;Wasruimte;Gevelkraan;RAM EA;In Plafond;a;ø15;Knel;
16;-1;Ketelruimte;CV Vulkraan;EA;Boven Ketel;a;ø15;Knel;
17;-1;Ketelruimte;GEvelkraan;RAM EA;Boven Ketel;a;ø15;Knel;
18;-1;Ketelruimte;CV Vulkraan;CA;Naast Ketel;a;1/2'';Schroef;
19;BG;Gang naast winkel;BSH's;EA;Onder BSH;a;ø22;Knel;
20;BG;Gang bij kamer 91E;BSH;EA;Onder BSH;a;ø22;Knel;
21;BG;Traphal bij kamer 91G;Gevelkraan;RAM EA;In Traphal;a;ø15;Knel;
22;BG;Kapsalon;Voeding KW;EA;In Kast;a;ø15;Knel;
23;BG;Kapsalon;Voeding WW;EA;In Kast;a;ø15;Knel;
24;BG;Hal bij Receptie;BSH;EA;Onder BSH;a;ø22;Knel;
25;BG;Keuken Huiskamer;Koffie automaat;EA;Aan kraan;a;3/4'';Schroef;
26;BG;Keuken Huiskamer;Vaatwasser;EA;Aan kraan;a;3/4'';Schroef;
27;BG;Keuken Huiskamer;Boiler;Inlaat C.;In Kast;a;ø15;Knel;
28;BG;Keuken;Steamer;EA;Aan Kraan;a;3/4'';Schroef;
29;BG;Keuken;Zeepdosering;CA;Bij Mengkraan;a;1/2'';Schroef;
30;BG;Keuken;BSH;EA;;a;;;
31;1e;Gang bij kamer 92A;BSH;EA;Onder BSH;a;ø22;Knel;
32;1e;Gang  bij kamer 93G;BSH;EA;Onder BSH;a;ø22;Knel;
33;1e;Gang bij kamer 72;BSH;EA;Onder BSH;a;ø22;Knel;
34;1e;Gang bij kamer 72D;BSH;EA;Naast BSH;a;ø22;Knel;
35;2e;Gang bij kamer 94A;BSH;EA;Onder BSH;a;ø22;Knel;
36;2e;Gang bij kamer 95G;BSH;EA;Onder BSH;a;ø22;Knel;
37;2e;Gang bij kamer 74;BSH;EA;Onder BSH;a;ø22;Knel;
38;2e;Gang bij kamer 74D;BSH;EA;Naast BSH;a;ø22;Knel;
39;3e;Gang bij kamer 96A;BSH;EA;Onder BSH;a;ø22;Knel;
40;3e;Gang bij kamer;BSH;EA;Onder BSH;a;ø22;Knel;
41;4e;Ketelhuis;WW Circulatieleiding;EA;Bij trap;a;ø22;Knel;
42;4e;Ketelhuis;CV Vulkraan;CA;Onder bij trap;a;1/2'';Schroef;
43;4e;Ketelhuis;Boiler Links;Inlaat C.;Bij boiler;a;ø22;Knel;
44;4e;Ketelhuis;Boiler Rechts;Inlaat C.;Bij boiler;a;ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
