Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De la Salle;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;073-5213599;;;;;;;;;;
Adres;;Jachthoornstraat 2-4-6;Contactpersoon:;Gaby of Maartje;;;;;;;;;;
Woonplaats;;Rosmalen;Datum opname:;Week 25, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Jachthoorn-straat 2;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
15;Meterkast;Aftakking naar BSH;;Contr. KK;EA;1;1;;;a;;;;
14;Keuken;Wasmachine;;Contr. KK;EA;1;1;;;a;;;;
3;;;;Beluchterkraan;DA;;;;;;;;;
4;Keuken;Wasmachine;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
;2e verdieping;;;;;;;;;;;;;
13;CV ruimte;CV Combi Ketel;;Inlaatcombinatie;;1;;;1;a;;;;
14;;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
7;;;;Beluchterkraan;DA;;;;;;;;;
;Jachthoorn-straat 4;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Meterkast;Aftakking naar BSH;;Contr. KK;EA;1;1;;;a;;;;
2;;Aftakking naar pand 2;;Contr. KK;EA;1;1;;;a;;;;
3;;Aftakking naar pand 6;;Contr. KK;EA;1;1;;;a;;;;
4;;Aftakking onbekend;;Contr. KK;EA;1;1;;;a;;;;
;2e verdieping;;;;;;;;;;;;;
11;CV ruimte;CV Combi Ketel;;Inlaatcombinatie;;1;;;1;a;;;;
12;;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
13;;;;Beluchterkraan;DA;;;;;;;;;
;Jachthoorn-straat 6;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
8;Meterkast;Aftakking naar BSH;;Contr. KK;EA;1;1;;;a;;;;
6;;Aftakking naar buitenkraan;;Contr. KK;EA;1;1;;;a;;Binnenwerk vervangen ;;
7;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;a;;;;
17;;;;Beluchterkraan;DA;1;1;;;;;;;
5;Washok;Wasmachine;;Contr. KK;EA;1;1;;;a;;;;
19;;;;Beluchterkraan;DA;1;;1;;;;;;
20;Buiten;Buitenkraan ;;Beluchterkraan;DA;1;1;;;;;;;
;2e verdieping;;;;;;;;;;;;;
9;CV ruimte;CV Combi Ketel;;Inlaatcombinatie;;1;;;1;a;;;;
10;;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
23;;;;Beluchterkraan;DA;1;1;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;13;0;3;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;16;;;;;;;;
