;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Berkt 2a activiteitencentrum;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;lokaal 12;vaatwasser;EB;;;JA;1/2;schroef
2;bg;lokaal 12;buitenkraan;EA;;;JA;15;knel
3;bg;keuken;koffieapparaat;EB;;;JA;1/2;schroef
4;bg;keuken;vaatwasser;EB;;;JA;1/2;schroef
5;bg;keuken;wm;EB;;;JA;1/2;schroef
6;bg;gang bij 10;BSH;;;;JA;;
7;bg;gang bij 7;BSH;;;;JA;;
8;bg;gang bij 2;BSH;;;;JA;;
9;bg;cv ruimte;vulkraan;CA;;;JA;1/2;schroef
10;bg;cv ruimte;circulatieleiding;EA;;;JA;22;knel
11;bg;cv ruimte;inlaat combi;EA;;;JA;22;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
