;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Blaarthemseweg 60;;;Datum: Oktober, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;keuken;koffieapparaat;EA;;;JA;3/4;schroef
2;bg;keuken;vaatwasser;EA;;;JA;3/4;schroef
3;bg;keuken;buitenkraan;EA;;;JA;15;knel
4;bg;magazijn;BSH;EA;;;JA;22;knel
5;1e;wasruimte;wm;EA;;;JA;1/2;schroef
6;1e;zolder;BSH;EA;;;JA;22;knel
7;1e;zolder;circulatieleiding;EA;;;JA;15;knel
8;1e;zolder;vulkraan;CA;;;JA;1/2;schroef
9;1e;zolder;inlaat combi;;;;JA;5;knel
10;-1;kelder;kw toevoer buiten;EA;;;JA;22;knel
11;-1;kelder;kw toevoer;EA;;;JA;22;knel
12;bg;wc;buitenkraan;EA;;;JA;15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
