;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Heikantsebaan 42 en 44;;;Datum: Oktober, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;buiten bij 42;buitenkraan;EA;;Meterkast;JA;ø15;knel
2;bg;buiten bij 42;buitenkraan;EA;;Onder WT achter;JA;ø15;knel
3;bg;keuken 42;vaatwasser;EA;;;JA;1/2;schroef
4;1e;cv ruimte 42;vulkraan;EA;;;JA;1/2;schroef
5;1e;cv ruimte 42;circulatieleiding;EA;;;JA;15;knel
6;1e;cv ruimte 42;inlaat combi;EA;;;JA;22;knel
7;1e;wasruimte 44;wm;EA;;;JA;1/2;schroef
8;1e;cv ruimte 44;vulkraan;EA;;;JA;1/2;schroef
9;1e;cv ruimte 44;circulatieleiding;EA;;;JA;15;knel
10;1e;cv ruimte 44;inlaat combi;EA;;;JA;22;knel
11;bg;buiten bij 44;buitenkraan;EA;;Onder WT achter;JA;ø15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
