;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Hulst 6 en 8;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;keuken;vaatwasser;EA;;;JA;1/2;schroef
2;bg;wasruimte;wm;EA;;;JA;3/4;schroef
3;1e;cv ruimte;vulkraan;CA;;;JA;1/2;schroef
4;1e;cv ruimte;circulatieleiding;EA;;;JA;22;knel
5;1e;cv ruimte;inlaat combi;EA;;;JA;22;knel
6;bg;hulst 6 voor;buitenkraan;EA;;;JA;15;knel
7;bg;hulst 6 achter;buitenkraan;EA;;;JA;15;knel
8;bg;hulst 8 voor;buitenkraan;EA;;;JA;15;knel
9;bg;hulst 8 achter;buitenkraan;EA;;;JA;15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
;;;;;;;;;
