;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Koepel 3;;;Datum: Oktober, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;keuken;vaatwasser;EA;;;JA;1/2;schroef
2;;buiten voor;buitenkraan;;;;JA;;
3;;wasruimte;wm;EA;;;JA;3/4;schroef
4;;buiten achter;buitenkraan;;;;NEE;;
5;;cv ruimte;vulkraan;CA;;;JA;3/4;schroef
6;;cv ruimte;circulatieleiding;;;;JA;22;knel
7;;cv ruimte;inlaat-combi;;;;JA;22;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
4;;Niet duidelijk of keerklep bij aftakking zit. Gevelkraan opnemen in beheersplan.;;;;;;;
;;;;;;;;;
