;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Koepel 43 en 45;;;Datum: Oktober, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;cv ruimte;vulkraan;CA;;;JA;3/4;schroef
2;;cv ruimte;circulatieleiding;EA;;;JA;22;knel
3;;cv ruimte;inlaat combi;EA;;;JA;22;knel
4;;buiten voor 43;buitenkraan;;;;NEE;;
5;;buiten voor 45;buitenkraan;;;;NEE;;
6;;buiten achter 43;buitenkraan;;;;JA;;
7;;buiten achter 43;buitenkraan;;;;JA;;
8;;keuken;vaatwasser;EA;;;JA;1/2;schroef
9;;wasruimte;wm;EA;;;JA;1/2;schroef
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
4;;Niet duidelijk of keerklep bij aftakking zit. Gevelkraan opnemen in beheersplan.;;;;;;;
5;;Niet duidelijk of keerklep bij aftakking zit. Gevelkraan opnemen in beheersplan.;;;;;;;
