;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Nieuwe kerkstraat 39 en 41;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;cv ruimte;vulkraan;CA;;;JA;3/4;schroef
2;bg;cv ruimte;inlaat combi;EA;;;JA;22;knel
3;bg;cv ruimte;circulatieleiding;EA;;;JA;15;knel
4;bg;keuken;buitenkraan;EA;;;JA;15;knel
5;bg;keuken;vaatwasser;EA;;;JA;1/2;schroef
6;bg;washok;wm;EA;;;JA;1/2;schroef
7;bg;buiten;buitenkraan;;;achtertuin;JA;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
