;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Nieuwe kerkstraat 44 en Platanenlaan 1;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;ketelhok;inlaat combi;EA;;;JA;22;CAP
2;;ketelhok;vulkraan;CA;;;JA;1/2;schroef
3;;ketelhok;circulatieleiding;EA;;;JA;15;knel
4;;keuken;vaatwasser;EA;;achter plank;JA;1/2;schroef
5;;keuken;buitenkraan;EA;;achter plank;JA;15;knel
6;;washok;wk;EA;;;JA;1/2;schroef
7;;washok;buitenkraan;EA;;in kruipruimte;JA;15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
