;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Nieuwe kerkstraat 46 en 46a;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;1e;cv ruimte;vulkraan;CA;;;JA;3/4;schroef
2;1e;cv ruimte;inlaat combi;EA;;;JA;22;cap
3;1e;cv ruimte;circulatieleiding;EA;;;JA;15;knel
4;1e;cv ruimte;circulatieleiding;EA;;;JA;22;knel
5;bg;wasruimte;wm;EA;;;JA;1/2;schroef
6;bg;keuken links;vaatwasser;EA;;;JA;1/2;schroef
7;bg;keuken links;buitenkraan;EA;;;JA;15;knel
8;bg;keuken rechts;vaatwasser;EA;;;JA;1/2;schroef
9;bg;keuken rechts;buitenkraan;EA;;;JA;15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
