;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Platanenlaan 3 en 5;;;Datum: September, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;cv ruimte;vulkraan;CA;;;JA;3/4;schroef
2;1e;cv ruimte;circulatieleiding;EA;;;JA;15;knel
3;1e;cv ruimte;inlaat combi;EA;;;JA;22;cap
4;1e;keuken;vaatwasser;EA;;achter plank;JA;1/2;schroef
5;bg;keuken;buitenkraan;EA;;achter plank;JA;15;knel
6;bg;wasruimte;wm;EA;;;JA;1/2;schroef
7;bg;wasruimte;buitenkraan;EA;;onder vloer;JA;15;knel
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
