;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Roost 4 en 6;;;Datum: Oktober, 2015;;;;;;
Adres: Veldhoven;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;bg;keuken;vaatwasser;EA;;Achter plaat;JA;1/2;schroef
2;bg;wasruimte;wm;EA;;;JA;1/2;schroef
3;1e;cv ruimten;vulkraan;CA;;;JA;3/4;schroef
4;1e;cv ruimten;circulatieleiding;EA;;;JA;22;knel
5;1e;cv ruimten;inlaat combi;EA;;;JA;22;knel
6;bg;buiten voor;buitenkraan;;;roost 4;JA;;
7;bg;buiten achter;buitenkraan;;;roost 4;JA;;
8;bg;buiten voor;buitenkraan;;;roost 6;JA;;
9;bg;buiten achter;buitenkraan;;;roost 6;JA;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking;;;;;;;
;;;;;;;;;
;;;;;;;;;
