Monteur : M Gutte;;
Adres       : Aangelag 15;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;40,6 C°
Kamer 0.17;Wastafelmengkraan;37,1 C°
;Douchemengkraan;39,2 C°
Kamer 0.16;Wastafelmengkraan;39,3 C°
Kamer 0.10;Wastafelmengkraan;39,1 C°
;Douchemengkraan;37,2 C°
Kamer 0.12;Wastafelmengkraan;39,4 C°
;Douchemengkraan;38,0 C°
Kamer 0.14;Wastafelmengkraan;40,1 C°
;Douchemengkraan;37,2 C°
Kamer 1.2;Keukenmengkraan;42,6 C°
Kamer 1.5;Wastafelmengkraan;39,3 C°
;Douchemengkraan;38,4 C°
Kamer 1.9;Wastafelmengkraan;42,0 C°
;Douchemengkraan;37,6 C°
Kamer 1.7;Wastafelmengkraan;39,3 C°
;Douchemengkraan;38,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
