Monteur : M Gutte;;
Adres       : Ark 5 en 7;;
;;
Locatie;Tappunt;Temp.
Kamer 20;Keukenmengkraan links;44,2 C°
;Keukenmengkraan rechts;46,2 C°
Kamer 26;Wastafelmengkraan;39,0 C°
;Uitstortgootsteen;36,1 C°
Kamer 28;Wastafelmengkraan;33,8 C°
;Douchemengkraan;38,9 C°
Kamer 24;Wastafelmengkraan;43,0 C°
;douchemengkraan;38,6 C°
;badmengkraan;40,8 C°
Kamer 30;Wastafelmengkraan;44,7 C°
;Douchemengkraan;38,2 C°
Kamer 21;Wastafelmengkraan;45,0 C°
;Douchemengkraan;39,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
