Monteur : M Gutte;;
Adres       : Berkt 10 en 12;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;38,1 C°
Wasruimte;Uitstortgootsteen;39,3 C°
;Uitstortgootsteen;39,2 C°
Badkamer 10;Wastafelmengkraan;39,0 C°
;Douchemengkraan;38,2 C°
Minder valide 10;Wastafelmengkraan;40,1 C°
;Douchemengkraan;39,9 C°
Badkamer 12;Wastafelmengkraan;39,4 C°
;Douchemengkraan;39,2 C°
Minder valide;Wastafelmengkraan;40,7 C°
;Douchemengkraan;39,9 C°
Kamer A10;Wastafelmengkraan;41,2 C°
Kamer A11;Wastafelmengkraan;39,0 C°
Kamer A12;Wastafelmengkraan;38,7 C°
Kamer A13;Wastafelmengkraan;39,8 C°
Kamer A14;Wastafelmengkraan;38,9 C°
Kamer A15;Wastafelmengkraan;38,0 C°
Kamer B10;Wastafelmengkraan;39,7 C°
Kamer B11;Wastafelmengkraan;38,9 C°
Kamer B12;Wastafelmengkraan;40,1 C°
Kamer B13;Wastafelmengkraan;39,6 C°
Kamber B14;Wastafelmengkraan;38,9 C°
Kamer A16;Wastafelmengkraan;38,7 C°
;;
;;
