Monteur : M Gutte;;
Adres       :  Eegwortel 5;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;20,1 C°
Kamer 00.4;Wastafelmengkraan;38,0 C°
;Douchemengkraan;39,2 C°
Kamer 00,9;Wastafelmengkraan;28,0 C°
;Douchemengkraan;38,0 C°
Kamer 1.12;Wastafelmengkraan;33,3 C°
;Douchemengkraan;38,2 C°
Kamer 1.04;Wastafelmengkraan;40,2 C°
;Douchemengkraan;39,9 C°
Kamer 1.06;Wastafelmengkraan;39,9 C°
;Douchemengkraan;38,9 C°
Kamer 1.08;Wastafelmengkraan;44,0 C°
;Douchemengkraan;40,0 C°
Kamer 00.7;Wastafelmengkraan;41,0 C°
;Douchemengkraan;38,2 C°
Kamer 00.3;Wastafelmengkraan;40,1 C°
;Douchemengkraan;39,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
