Monteur : M Gutte;;
Adres       : Hulst 2 en 4;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;41,2 C°
Wasruimte;Uitstortgootsteen;65,1 C°
Badkamer 2;Wastafelmengkraan;47,2 C°
;Douchemengkraan;38,2 C°
;Badmengkraan;38,3 C°
Minder Valide;Wastafelmengkraan;40,4 C°
;Douchemengkraan;38,2 C°
Badkamer 4;Wastafelmengkraan;39,9 C°
;Douchemengkraan;38,6 C°
;Badmengkraan;38,6 C°
Minder Valide;Wastafelmengkraan;38,2 C°
;Douchemengkraan;39,0 C°
Kamer A10;Wastafelmengkraan;43,1 C°
Kamer A11;Wastafelmengkraan;36,2 C°
Kamer A12;Wastafelmengkraan;40,2 C°
Kamer A13;Wastafelmengkraan;39,4 C°
Kamer A14;Wastafelmengkraan;36,7 C°
Kamer A15;Wastafelmengkraan;37,7 C°
Kamer B10;Wastafelmengkraan;40,0 C°
Kamer B11;Wastafelmengkraan;39,6 C°
Kamer B13;Wastafelmengkraan;38,2 C°
Kamer B14;Wastafelmengkraan;37,5 C°
Kamer B15;Wastafelmengkraan;38,8 C°
;;
;;
