Monteur : M Gutte;;
Adres       : Koepel 39 - 41;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan Rechts;41,5 C°
;Keukenmengkraan Links;37,4 C°
Kamer 26;Wastafelmengkraan;60,0 C°
;Uitstortgootsteen;37,2 C°
Kamer 28;Wastafelmengkraan;37,2 C°
;Douchemengkraan;38,1 C°
;Badmengkraan;38,4 C°
Kamer 24;Wastafelmengkraan;35,9 C°
;Douchemengkraan;38,1 C°
;Badmengkraan;37,7 C°
Kamer 30;Wastafelmengkraan;38,3 C°
;Douchemengkraan;38,1 C°
Kamer 21;Wastafelmengkraan;39,9 C°
;Douchemengkraan;38,1 C°
Kamer 53;Wastafelmengkraan;34,6 C°
Kamer 41;Wastafelmengkraan;41,2 C°
Kamer 40;Wastafelmengkraan;39,4 C°
Kamer 39;Wastafelmengkraan;36,6 C°
Kamer 38;Wastafelmengkraan;35,8 C°
Kamer 37;Wastafelmengkraan;36,2 C°
Kamer 36;Wastafelmengkraan;39,6 C°
Kamer 53;Wastafelmengkraan;37,9 C°
Kamer 3;Wastafelmengkraan;35,6 C°
Kamer 2;Wastafelmengkraan;38,2 C°
Kamer 7;Wastafelmengkraan;38,9 C°
Kamer 6;Wastafelmengkraan;37,2 C°
