Monteur : M Gutte;;
Adres: Laar 4 en 6;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;40,1 C°
Wasruimte;WastafelMengkraan; 62,1 C°
;Uitstortgootsteen; 62,0C°
Badkamer 4;WastafelMengkraan;38,4 C°
;Douchemengkraan;41,1 C°
Mindervalide 4;WastafelMengkraan;39,0 C°
;Douchemengkraan;40,1 C°
Badkamer 6;WastafelMengkraan;38,4 C°
;Douchemengkraan;39,5 C°
Mindervalide 6;WastafelMengkraan;39,1 C°
;Douchemengkraan;38,6 C°
Kamer A10;WastafelMengkraan;35,9 C°
Kamer A11;WastafelMengkraan;36,8 C°
Kamer A12;WastafelMengkraan;38,5 C°
Kamer A13;WastafelMengkraan;38,1 C°
Kamer A14;WastafelMengkraan;37,9 C°
Kamer A15;WastafelMengkraan;36,7 C°
Kamer B10;WastafelMengkraan;36,2 C°
Kamer B11;WastafelMengkraan;38,4 C°
Kamer B12;WastafelMengkraan;39,2 C°
Kamer B13;WastafelMengkraan;38,4 C°
Kamer B14;WastafelMengkraan;37,2 C°
Kamer B15;WastafelMengkraan;39,6 C°
;;
;;
