Monteur : M Gutte;;
Adres       : Nieuwe Kerkstraat 38 en 40;;
;;
Locatie;Tappunt;Temp.
Badkamer links klein;Wastafelmengkraan;36,4 C°
;Douchemengkraan;38,4 C°
Badkamer groot;Wastafelmengkraan;38,0 C°
;Douchemengkraan;38,1 C°
Badkamer achter;Wastafelmengkraan;41,9 C°
;Douchemengkraan;40,6 C°
Slaapkamer bij trap;Wastafelmengkraan;41,9 C°
;Douchemengkraan;38,7 C°
1e verd. Slaapkamer 2;Wastafelmengkraan;40,5 C°
;Douchemengkraan;38,2 C°
1e verd. Slaapkamer 3;Wastafelmengkraan;37,1 C°
;Douchemengkraan;37,9 C°
1e verd. Slaapkamer 4;Wastafelmengkraan;39,2 C°
;Douchemengkraan;38,4 C°
1e verd. Slaapkamer 5;Wastafelmengkraan;41,0 C°
;Douchemengkraan;37,6 C°
2e verd. Slaapkamer ;Wastafelmengkraan;39,4 C°
;Douchemengkraan;39,0 C°
;;
;;
;;
;;
;;
;;
;;
