Monteur : M Gutte;;
Adres       : Nieuwe kerkstraat 46;;
;;
Locatie;Tappunt;Temp.
Kamer 0.5;Wastafelmengkraan;39,1 C°
;Douchemengkraan;38,7 C°
Kamer 0.11;Wastafelmengkraan;36,9 C°
;Douchemengkraan;38,1 C°
Kamer 0.13;Wastafelmengkraan;36,5 C°
;Douchemengkraan;38,4 C°
Kamer 0.15;Wastafelmengkraan;45,1 C°
;Douchemengkraan;38,1 C°
Kamer 0.04A;Keukenmengkraan;39,6 C°
Kamer 1.2;Wastafelmengkraan;37,8 C°
;Douchemengkraan;39,1 C°
Kamer 1.8;Wastafelmengkraan;42,0 C°
;Douchemengkraan;39,1 C°
Kamer 1.6;Wastafelmengkraan;37,5 C°
;Douchemengkraan;38,4 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
