Monteur : M Gutte;;
Adres       : Platanenlaan 6 -8 ;;
;;
Locatie;Tappunt;Temp.
Kamer 6.10;Uitstortgootsteen;38,2 C°
Kamer 6.07  Bad. Klein; Badmengkraan;38,7 C°
Badkamer groot;Badmengkraan;39,0 C°
;Douchemengkraan;38,9 C°
;Wastafelmengkraan;39,4 C°
Kamer 8.07;Wastafelmengkraan;38,4 C°
;Douchemengkraan;38,9 C°
Badkame klein;Badmengkraan;37,7 C°
Kamer 8.10;Wastafelmengkraan;38,8 C°
;Douchemengkraan;41,4 C°
Kamer 6.08;Wastafelmengkraan;34,5C°
;Douchemengkraan;38,7 C°
Keuken;Keukenmengkraan;46,1 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
