Monteur : M Gutte;;
Adres       : Roost 8 en 10;;
;;
Locatie;Tappunt;Temp.
Keuken ;Keukenmengkraan;44,5 C°
Wasruimte;Wastafelmengkraan;41,2 C°
Badkamer 8;Wastafelmengkraan;40,8 C°
;Douchemengkraan;39,1 C°
Badkamer 10;Wastafelmengkraan;38,9 C°
;Douchemengkraan;39,2 C°
Minder valide 8;Wastafelmengkraan;39,8 C°
;Douchemengkraan;38,6 C°
Minder valide 10;Wastafelmengkraan;40,2 C°
;Douchemengkraan;39,9 C°
Kamer A10;Wastafelmengkraan;40,1 C°
Kamer A11;Wastafelmengkraan;41,4 C°
Kamer A12;Wastafelmengkraan;40,2 C°
Kamer A13;Wastafelmengkraan;38,1 C°
Kamer A14;Wastafelmengkraan;36,1 C°
Kamer A15;Wastafelmengkraan;37,5 C°
Kamer B10;Wastafelmengkraan;37,9 C°
Kamer B11;Wastafelmengkraan;37,9 C°
Kamer B12;Wastafelmengkraan;39,9 C°
Kamer B13;Wastafelmengkraan;39,9 C°
Kamer B14;Wastafelmengkraan;38,4 C°
Kamer B15;Wastafelmengkraan;38,5 C°
;;
;;
;;
