Monteur : M Gutte;;
Adres       : Stulp 2 en 4;;
;;
Locatie;Tappunt;Temp.
Kamer 20;Keukenmengkraan links;38,1 C°
;Keukenmengkraan rechts;41,5 C°
Kamer 26;Wastafelmengkraan;40,0 C°
;Uitstortgootsteen;38,0 C°
Kamer 20;Wastafelmengkraan;36,2 C°
;Douchemengkraan;38,9 C°
Kamer 30;Wastafelmengkraan;41,0 C°
;Douchemengkraan;39,2 C°
Kamer 24;Wastafelmengkraan;38,4 C°
;Douchemengkraan;39,2 C°
Minder Valide;Wastafelmengkraan;39,3 C°
;Douchemengkraan;37,2 C°
Kamer 36;Wastafelmengkraan;38,9 C°
Kamer 53;Wastafelmengkraan;39,5 C°
Kamer 38;Wastafelmengkraan;41,3 C°
Kamer 39;Wastafelmengkraan;39,8 C°
Kamer 40;Wastafelmengkraan;38,7 C°
Kamer 41;Wastafelmengkraan;38,2 C°
Kamer 37;Wastafelmengkraan;39,2 C°
Kamer 1;Wastafelmengkraan;41,4 C°
Kamer 2;Wastafelmengkraan;40,0 C°
Kamer 5;Wastafelmengkraan;38,4 C°
Kamer 4;Wastafelmengkraan;39,2 C°
Kamer 3;Wastafelmengkraan;37,7 C°
Kamer 6;Wastafelmengkraan;37,5 C°
