Monteur : M Gutte;;
Adres       : Wilgenman 4;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;36,4 C°
Douche Rechts;Wastafelmengkraan;38,1 C°
;Douchemengkraan;40,1 C°
Douche Links;Wastafelmengkraan;34,4 C°
;Douchemengkraan;37,4 C°
Slaapkamer 1;Wastafelmengkraan;38,9 C°
Slaapkamer 2;Wastafelmengkraan;37,2 C°
Slaapkamer 3;Wastafelmengkraan;37,4 C°
Slaapkamer 4;Wastafelmengkraan;39,7 C°
Slaapkamer 5;Wastafelmengkraan;39,2 C°
Slaapkamer 6;Wastafelmengkraan;37,6 C°
Slaapkamer 7;Wastafelmengkraan;38,2 C°
Slaapkamer 8;Wastafelmengkraan;39,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
