Monteur : M Gutte;;
Adres       : Heikantsebaan 44;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;37,7 C°
Slaapkamer 1e verd.;Wastafelmengkraan;36,8 C°
;Douchemengkraan;39,2 C°
Slaapkamer 1e verd.;Wastafelmengkraan;39,4 C°
;Douchemengkraan;38,6 C°
Slaapkamer 1e verd.;Wastafelmengkraan;38,1 C°
;Douchemengkraan;39,2 C°
Slaapkamer;Wastafelmengkraan;41,2 C°
;Douchemengkraan;38,4 C°
Badkamer;Wastafelmengkraan;27,9 C°
;Douchemengkraan;37,7 C°
Slaapkamer;Wastafelmengkraan;38,3 C°
;Douchemengkraan;39,1 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
