Monteur : M Gutte;;
Adres       : Koepel 43 - 45;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan Rechts;41,6 C°
;Keukenmengkraan Links;41,7 C°
Kamer 26;Wastafelmengkraan;39,5 C°
;Uitstortgootsteen;39,2 C°
Badkamer 45;Wastafelmengkraan;36,2 C°
;Douchemengkraan;38,0 C°
Badkamer 43;Wastafelmengkraan;36,8 C°
;Douchemengkraan;38,9 C°
Mindervalide toilet 45;Wastafelmengkraan;35,8 C°
;Douchemengkraan;38,9 C°
Minder valide toilet 43;Wastafelmengkraan;39,2 C°
;Douchemengkraan;39,0 C°
Kamer 2;Wastafelmengkraan;39,3 C°
Kamer 3;Wastafelmengkraan;34,3 C°
Kamer 4;Wastafelmengkraan;15,0 C°
Kamer 5;Wastafelmengkraan;36,2 C°
Kamer 6;Wastafelmengkraan;32,9 C°
Kamer 7;Wastafelmengkraan;34,0 C°
Kamer 35;Wastafelmengkraan;38,5 C°
Kamer 36;Wastafelmengkraan;37,1 C°
Kamer 38;Wastafelmengkraan;37,8 C°
Kamer 41;Wastafelmengkraan;36,2 C°
Kamer 40;Wastafelmengkraan;36,9 C°
Kamer 39;Wastafelmengkraan;37,0 C°
Kamer 37;Wastafelmengkraan;36,0 C°
