Monteur : M Gutte;;
Adres       : Kromstraat 72 - 72a;;
;;
Locatie;Tappunt;Temp.
Keuken Rechts;Keukenmengkraan;39,8 C°
Keuken Links;Keukenmengkraan;35,7 C°
1e Slaapkamer Rechts;Wastafelmengkraan;37,8 C°
;Douchemengkraan;39,0 C°
1e Slaapkamer Links;Wastafelmengkraan;38,3 C°
;Douchemengkraan;38,9 C°
1e Slaapkamer bij trap;Wastafelmengkraan;38,4 C°
;Douchemengkraan;39,1 C°
72A Badkamer;Wastafelmengkraan;38,6 C°
;Douchemengkraan;39,0 C°
2e;Wastafelmengkraan;39,0 C°
;Douchemengkraan;40,4 C°
72A 2e;Wastafelmengkraan;39,6 C°
;Douchemengkraan;39,2 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
