Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;046-4854066;;;;;;;;;;
Adres;;Gouverneur Houbenstraat 48;Contactpersoon:;Jolanda;;;;;;;;;;
Woonplaats;;Nieuwstadt;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;;;;;
3;Kruipruimte;Aftakking naar kantoor en hobbyruimte.;;Contr. KK;EA;1;1;;;;;;;
;2e verdieping;;;;;;;;;;;;;
6;CV ruimte;Boiler;;Inlaatcombinatie;;1;;;1;;;;;
7;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;;;;
8;;CV vulpunt;;Contr. KK;EA;1;1;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;4;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;5;;;;;;;;
;;;;;;;;;;;;;;
;;;;(Keerklep nummer 4 & 5 zijn vervallen);;;;;;;;;;
