Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;PIA Hoeve Mgr Savelbergweg 104;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;Keuken;Industr. Vaatwasser;;;EA;1;;1;;a;;;;
;;koud water;;;;;;;;a;;;;
2;Keuken;Industr. Vaatwasser ;;;EA;1;;1;;a;;;;
;;warm water;;;;;;;;a;;;;
3;Keuken;Koffiezetapparaat;;;EA;1;1;;;a;;Keerklep geplaatst;;
4;Gang bij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
6;Links bij entree;Buitenkraan;;Contr.KK ;EA;1;1;;;a;;;;
8;Activiteiten ruimte;Boiler;Daalderop Close In 10;Inlaatcombinatie;;1;;;1;a;;;;
12;Meterkast gang naar kantoor;Voeding buitenleiding;;Onderbr. Met verschildruk-zone;CA;1;;1;;a;;;;
15;Stal;Buitenkraan;;Contr.KK ;EA;1;1;;;a;;;;
16;Zolder;Boiler;Daalderop ;Inlaatcombinatie;;1;;;1;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;4;3;2;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;9;;;;;;;;
