Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Mgr Savelbergweg 104-De Wilg;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Ketelhok;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Installatieruimte;Ontharder;;;EA;1;1;;;V;;;;
2;Installatieruimte;Watermeter;;;EA;1;1;;;V;;;;
3;Installatieruimte;Leidingen ontharder;;;BA;1;;;;V;;;;
4;Installatieruimte;Boiler 1;;;EA;1;1;;;V;;;;
5;Installatieruimte;Boiler 2;;;EA;1;1;;;V;;;;
6;Installatieruimte;Toevoerleiding boiler;;;EA;1;1;;;V;;;;
7;Installatieruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
8;Installatieruimte;Hoofdwatermeter;;;EA;1;1;;;V;;;;
9;Installatieruimte;Vulkraan;;;CA;1;;1;;V;;;;
10;Installatieruimte;Spoelleiding;;;EA;1;1;;;V;;;;
11;Gang naar kastangelaan 1 en 3;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Kastanjelaan 1 ;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
12;Gang naast WM;Brandslanghaspel;;;EA;1;1;;;V;;;;
13;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
14;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
15;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
16;Gang nabij 1.20;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Kastanjelaan 3 ;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
17;Gang naast keuken;Brandslanghaspel;;;EA;1;1;;;V;;;;
18;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
19;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
20;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
21;Gang slaapk 221;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Waterhof 6 en 2;;;;;;;;;;;;;
22;Kantoor waterhof 6;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
23;Gang bij kantoor;Brandslanghaspel;;;EA;1;1;;;V;;;;
24;Waterhof 2;Brandslanghaspel;;;EA;1;1;;;V;;;;
25;Gang waterhof bij deur 732;Brandslanghaspel;;;EA;1;1;;;V;;;;
26;Koffie kamer;Koffieapparaat;;;EA;1;1;;;V;;;;
27;Gang naar kastanjelaan 5 en 7;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Kastanjelaan 11;;;;;;;;;;;;;
28;Gang;Brandslanghaspel;;;EA;1;1;;;V;;;;
29;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
30;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
31;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;Kastanjelaan 9;;;;;;;;;;;;;
32;Gang;Brandslanghaspel;;;EA;1;1;;;V;;;;
33;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
34;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
35;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;Zwembad;;;;;;;;;;;;;
36;Installatieruimte;Oogdouche;;;EA;1;1;;;V;;;;
37;Installatieruimte;Buitenkraan;;;CA;1;;1;;V;;;;
;Tandarts;;;;;;;;;;;;;
38;;Toevoerleiding naar unit;;;BA;1;;;;V;;;;
;Kastanjelaan 7;;;;;;;;;;;;;
39;Gang;Brandslanghaspel;;;EA;1;1;;;V;;;;
40;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
41;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
42;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;Kastanjelaan 5;;;;;;;;;;;;;
43;Gang;Brandslanghaspel;;;EA;1;1;;;V;;;;
44;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
45;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
46;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;42;2;0;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;46;;;;;;;;
