;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Waterschap Aa en Maas;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: RWZI Oijen;;;Week 28, 2015;;;;;;
Adres: Parallelstraat 1, Oijen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Kantine;Koffieautomaat;EA;Achter machine;a;Ø15;Cap;
2;B.G.;Keuken;Koffieautomaat;EA;Onder werkblad;a;Ø15;Knel;
3;B.G.;Keuken;Close-in boiler;EA;In kast;a;Ø15;Knel;
4;B.G.;Technische ruimte;Watermeter;EA;Achter meter;a;1";Schroef;
5;B.G.;Technische ruimte;CV Vulkraan;CA;Onder boiler;;3/4";Schroef;
6;B.G.;Technische ruimte;Boiler;Inlaatcombi;Onder boiler;a;Ø15;Knel;
7;B.G.;Wasruimte;Mengventiel kw;EB;Onder wastrog;a;1/2";Schroef;
8;B.G.;Wasruimte;Mengventiel ww;EB;Onder wastrog;a;1/2";Schroef;
9;B.G.;Wasruimte;Wasmachine;EB;Achter wasmachine;a;1/2";Schroef;
10;B.G.;Nooddouche a.l.c.l.;Buitenkraan;RAM EA;In stalen kooi;a;Ø15;Knel;
11;B.G.;Ingedikt slibgebouw;Mengventiel kw;EA;Bij boiler;a;Ø35;Pers;
12;B.G.;Ingedikt slibgebouw;Voeding boiler;EA;Bij boiler;a;Ø35;Pers;
Keerklep:;;Opmerking:;;;;;;;
5;;Niet controleerbaar i.v.m. afsluiter;;;;;;;
