;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Woonwijze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Achter de Bredase Wagen;Week: ;       November, 2015;;;;;
Adres: ;;Achter de Bredase Wagen 12 -30;Complex nr:;ME 104;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;;Huis Nr. 24;;;;;;;
1;1e;Keuken;Keukenmengkraan KW;EA;Onder aanrechtblad;a;;;
2;1e;Keuken;Keukenmengkraan WW;EA;Onder aanrechtblad;a;;;
3;1e;Berging;Mengkraan KW;EA;In hoek berging;a;;;
4;1e;Berging;Mengkraan WW;EA;In hoek berging;a;;;
;;;; ;;;;;
;;Huis Nr. 20;;;;;;;
1;BG;Keuken;Keukenmengkraan KW;EA;Onder aanrechtblad;a;;;
2;BG;Keuken;Keukenmengkraan WW;EA;Onder aanrechtblad;a;;;
3;BG;Berging;Mengkraan KW;EA;In hoek berging;a;;;
4;BG;Berging;Mengkraan WW;EA;In hoek berging;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
