;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Woonwijze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Flat de Vlasmeer;Week: ;        November, 2015;;;;;
Adres: ;;Vlasmeersestraat 1 t/m 34;Complex nr:;ME 160;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;;Woning Nr. 18;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 17;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 15;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 26;;;;;;;
1;2e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;2e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 11;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;Ea;In Meterkast;a;;;
;;;;EA;;;;;
;;Woning Nr. 12;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 14;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 19;;;;;;;
1;1e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;1e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
1;4e;Tech. Ruimte;WW Circulatieleiding;EA;Voor Boiler;a;;;
2;4e;Tech. Ruimte;CV Vulkraan;CA;Voor Vulkraan;a;;;
;;;;;;;;;
;;Woning Nr. 32;;;;;;;
1;3e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;3e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 24;;;;;;;
1;2e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;2e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 22;;;;;;;
1;2e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;a;;;
2;2e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;a;;;
;;;;;;;;;
;;Woning Nr. 21;;;;;;;
1;2e;Meterkast;KW T.b.v. Woning;EA;In Meterkast;X;;;
2;2e;Meterkast;WW T.b.v. Woning;EA;In Meterkast;;;;
Keerklep:;;Opmerking:;;;;;;;
Woning Nr. 21;;WW KK niet controleerbaar Afsluiter sluit niet.;;;;;;;
;;;;;;;;;
