;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Woonwijze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Helvoirtseweg;Week: ;        November, 2015;;;;;
Adres: ;;Helvoirtseweg 58a t/m 70c;Complex nr:;ME 154;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;;Woning 68C;;;;;;;
1;3e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;3e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 68B;;;;;;;
1;2e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;2e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 70B;;;;;;;
1;2e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;2e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 66B;;;;;;;
1;2e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;2e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 62B;;;;;;;
1;2e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;2e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 58B;;;;;;;
1;2e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;2e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
;;Woning 70A;;;;;;;
1;1e;Berging;KW T.b.v. Woning;EA;In Berging;a;;;
2;1e;Berging;WW T.b.v. Woning;EA;In Berging;a;;;
;;;;;;;;;
1;5e;Tech. Ruimte;CV Vulkraan;CA;Bij tapkraan;a;;;
2;5e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
1;2e;Tech. Ruimte;Tapkraan KW;EA;In Tech. Ruimte;a;;;
2;2e;Tech. Ruimte;Tapkraan WW;EA;In Tech. Ruimte;a;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
