;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Woonwijze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Van de Pollstraat;Week: ;       December, 2015;;;;;
Adres: ;;Van de Pollstraat 23-79;complex nr:;ME 202;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;; Gebouw 23 t/m 39;;;;;;;
1;4e;Tech. Ruimte;CV Vulkraan;CA;;a;;;
2;4e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
;;Woning Nr. 37;;;;;;;
1;3e;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;3e;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;Gebouw 41 t/m 47;;;;;;;
1;3e;Tech. Ruimte;CV Vulkraan;CA;;a;;;
2;3e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
;;Woning Nr. 43;;;;;;;
1;3e;Badkamer;Mengkraan KW;EA;In Schacht;a;;;
2;3e;Badkamer;mengkraan WW;EA;In Schacht;a;;;
3;2e;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
4;2e;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;Woning Nr. 47;;;;;;;
1;2e;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;2e;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
3;3e;Berging;Mengkraan KW;EA;Onderin berging;a;;;
4;3e;Berging;Mengkraan WW;EA;Onderin Berging;a;;;
;;;;;;;;;
;;Gebouw 49 t/m 59;;;;;;;
1;3e;Tech. Ruimte;CV Vulkraan;CA;;a;;;
2;3e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
;;woning Nr. 57;;;;;;;
1;;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;woning Nr. 49;;;;;;;
1;;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;Gebouw 61 t/m 71;;;;;;;
1;3e;Tech. Ruimte;CV Vulkraan;CA;;a;;;
2;3e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
;;Woning Nr. 67;;;;;;;
1;BG;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;BG;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;Gebouw 73 t/m 79;;;;;;;
1;3e;Tech. Ruimte;CV Vulkraan;CA;;a;;;
2;3e;Tech. Ruimte;WW Circulatieleiding;EA;;a;;;
;;;;;;;;;
;;Woning Nr. 77;;;;;;;
1;BG;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;X;;;
2;BG;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
;;;;;;;;;
;;Woning Nr. 75;;;;;;;
1;1e;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;1e;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
3;2e;Wasruimte;Mengkraan KW;EA;Bij plafond;a;;;
4;2e;Wasruimte;Mengkraan WW;EA;Bij Plafond;a;;;
;;;;;;;;;
;;Woning Nr. 73;;;;;;;
1;BG;Keuken;Keukenmengkraan KW;EA;In Keukenkastje;a;;;
2;BG;Keuken;Keukenmengkraan WW;EA;In Keukenkastje;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
