;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Woonwijze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;;Week: ;Oktober, 2015;;;;;
Adres: ;;Van Sonstraat 50, Vught;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;3e;Tech. Ruimte;CV Vulkraan;EA;Onder CV;a;;;
2;2e;Tech. Ruimte;Circulatieleiding WW;EA;Boven Boiler;a;;;
3;2e;Tech. Ruimte;CV Vulkraan;CA;Naast Boiler;a;;;
4;1e;Wasruimte;Toevoer was WW;EA;Tegen Muur;a;;;
5;1e;Wasruimte;Wasmachine;EA;Tegen Muur;a;;;
6;1e;Wasruimte;Wasmachine;EA;Tegen Muur;a;;;
7;1e;Wasruimte;Wasmachine;EA;Tegen Muur;X;;;
8;1e;Wasruimte;Wasmachine;EA;Tegen Muur;a;;;
9;1e;Tech. Ruimte;Circulatieleiding WW;EA;Boven Boiler;a;;;
10;1e;Tech. Ruimte;CV Vulkraan;CA;Boven Boiler;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
