;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;Jordi Verhagen;;;;;
Locatie:;;Fanfare Aurora;Week: ;Sept. 2015;;;;;
Adres: ;;t dorp 138  Heesch;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;zaal;bsh;EA;in meterkast;a;;;
2;BG;keuken;koffie automaat;EA;achter koelkast;a;;;
3;BG;keuken;vaatwasser;DA-EB;kastje;a;;;
4;BG;tech. Ruimte;CV vulkraan;CA;voor CV vulkraan;a;;;
5;BG;tech. Ruimte;gevelkraan;EA;in tech. Ruimte;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
