;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;Jordi Verhagen;;;;;
Locatie:;;Gemeentehuis;Week: ;Sept. 2015;;;;;
Adres: ;;De misse 4 Heesch;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;pantry kelder;waterontharder;CA;Voor ontharder ;a;;;
2;-1;pantry kelder;koffie automaat;EA;Voor automaat;a;;;
3;-1;gang bij pantry;BSH;EA;voor BSH;a;;;
4;-1;gang bij toilet;BSH;EA;voor bsh;a;;;
5;-1;tech. Ruimte;luchtbevochtiger;EA;onder LBK;a;;;
6;BG;Call centre;BSH;EA;Onder bsh;a;;;
7;BG;achter balie;BSH;EA;;X;;;
8;BG;garderobe;BSH;EA;;a;;;
9;BG;keuken;koffie automaat;EA;onder aanrecht;a;;;
10;BG;keuken;vaatwasser;CA;in kastje;X;;2x binnen 1/2'';
11;BG;keuken;waterkoeler;DA-EB;voor koeler;;;;
12;1e;hal bij FD ruimte;BSH;EA;;a;;;
13;1e;Gang bij keuken;BSH;EA;;X;;;
14;1e;keuken;vaatwasser;EA;in kastje;X;;1/2 '' WF aansluiting;
15;1e;keuken;waterkoeler;EA;nabij koeler;X;;1/2 '' WF aansluiting;
16;1e;keuken;koffie automaat;EA;bij machine;a;;;
17;1e;hal nabij flex plek;BSH;EA;;a;;;
18;1e;loopbrug;waterkoeler;EA;in kastje;;;;
19;1e;loopbrug;koffie automaat;EA;in kastje;;;;
20;1e;loopbrug;vaatwasser;;;;;;
21;2e;hal keuken;BSH;EA;;X;;;
22;2e;keuken;waterkoeler;EA;achter automaat;a;;;
23;2e;keuken;koffie automaat;EA;achter automaat;a;;;
24;2e;keuken;vaatwasser;EA;in kastje;;;;
25;2e;pantry kast;BSH;EA;;a;;;
26;2e;pantry;vaatwasser;EA;in kastje;a;;;
27;2e;pantry;koffie automaat;EA;achter apparaat;;;;
28;2e;tech. Ruimte LBK buiten;luchtbevochtiger;EA;onder osmose;a;;;
29;3e;tech. Ruimte;CV vulkraan;CA;bij kraan;X;;;
Keerklep:;;Opmerking:;;;;;;;
;11;Moet EA klep worden geplaatst;;;;;;;
;;18, 19, 20, 24 en 27 zijn niet controleerbaar.;;;;;;;
