;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;Jordi Verhagen;;;;;
Locatie:;;Lindershof;Week: ;Sept. 2015;;;;;
Adres: ;;Mozartlaan 92, Heesch;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Kleedkamer 1 douche;Tapkraan;EA;achter kraan;a;;;
2;BG;Kleedkamer 2 douche;Tapkraan;EA;achter kraan;a;;;
3;BG;Sporthal rechts;BSH;EA;berging kleedkamer 1;X;;;
4;BG;Tech. Ruimte;CV vulkraan;CA;onder CV;a;;;
5;BG;Kleedkamer 4 douche;Tapkraan;EA;achter kraan;a;;;
6;BG;Kleedkamer 3 douche;Tapkraan;EA;achter kraan;a;;;
7;BG;Sporthal links;BSH;EA;berging kleedkamer 3;X;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;3 & 7;Fout aangesloten.;;;;;;;
;;Dode leidingen containerruimte en ruimte electrische boiler. ( EX toiletten );;;;;;;
