;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;Jordi Verhagen;;;;;
Locatie:;;Vivaan;Week: ;Sept. 2015;;;;;
Adres: ;;DE lasallestraat 1;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;materiaalhok gymzaal;CV vulkraan;CA;Voor kraan;a;;;
2;BG;materiaalhok gymzaal;CV vulkraan;DA-EB;In kraan;a;;;
3;BG;materiaal opslag zaal;tapkraan;EA;Plafond;a;;;
4;BG;cafe;vaatwasser;DA-EB;Onder bar;a;;;
5;BG;cafe;BSH;EA;Langs BSH;a;;;
6;BG;zaal bsh;BSH;EA;voor BSH;a;;;
7;BG;kantoren hal;BSH;EA;in kelder;X;;;
8;1e;kantoren ;vaatwasser;DA-EB;in kastje;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;Geen NEN 1006 controle uitgevoerd;;;;;;;
;;;;;;;;;
