;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Bibliotheek;Week: ;September, 2015;;;;;
Adres: ;;Plein 1969 4, Heeswijk - Dinther;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang Rechts;BSH;EA;Voor BSH;a;;;
2;BG;Bij keuken;BSH;EA;Onder BSH;a;;;
3;BG;In keuken;Vaatwasser;EA;In kastje;a;;;
4;BG;Technische ruimte;CV Vulkraan;EA;Boven WT;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
